mv1,51609600,60014592,111632384
mv2,72482816,31023104,103514112
mv3,2523136,958464,3489792
mv4,216858624,101638144,318504960
mv6,271785984,175890432,447684608
mv8,31490048,31899648,63397888
mv9,8192,32768,49152
mv10,882663424,1098178560,1980850176
mv11,171679744,213688320,385376256
mv12,12673024,11919360,24600576
mv13,146792448,129720320,276520960
mv14,48832512,78053376,126894080
mv15,1048576,1105920,2162688
mv16,0,65536,73728
mv17,145195008,103022592,248225792
mv18,87482368,62111744,149602304
mv19,24993792,17645568,42647552
mv20,5390336,2760704,8159232
mv21,14499840,14761984,29270016
mv22,46694400,29818880,76521472
mv23,180224,147456,335872
mv24,11509760,5857280,17375232
mv25,20119552,10231808,30359552
mv26,8486551552,9811951616,18298511360
mv27,13934592,10108928,24051712
mv28,60456960,42598400,103063552
mv29,68272128,111902720,180183040
mv30,68313088,48332800,116654080
